TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,NEIGHBOURHOOD,Latitude,Longitude
Terrorism,2018,7,1,18,4,Githurai,-1.210787637,36.91850554
Drug Charges,2018,1,13,12,5,Uhuru Park,-1.2903935,36.8165834
Armed Robbery,2018,11,30,20,11,Thika,-1.048427594,37.07454568
Road Carnage,2017,5,25,7,23,Parklands,-1.25514071,36.80907643
Carjacking,2020,12,24,0,4,Parklands,-1.259163055,36.8206743
Carjacking,2017,6,30,9,32,Githurai,-1.203965613,36.91241157
Road Carnage,2017,9,12,15,22,Parklands,-1.260482383,36.80860436
Terrorism,2018,4,28,16,5,Kibera,-1.313956462,36.79674767
Terrorism,2018,8,1,14,45,UpperHill,-1.299707944,36.80938757
Drug Charges,2018,7,15,19,39,Uhuru Park,-1.291912768,36.81687435
Fraud,2018,5,8,19,16,South C,-1.327222385,36.83938373
Terrorism,2017,12,27,16,49,Thika,-1.03581257,37.08390123
Drug Charges,2017,12,20,24,31,Ngong,-1.361415817,36.66742756
Fraud,2020,9,1,9,6,South B,-1.309572883,36.83095113
Drug Charges,2020,9,27,12,15,South C,-1.327222385,36.83938373
Carjacking,2018,2,17,6,29,Uhuru Park,-1.288523315,36.81737861
Drug Charges,2019,1,30,6,51,Ngong,-1.366907424,36.67197658
Road Carnage,2018,9,26,16,26,Kibera,-1.3159515,36.79043911
Road Carnage,2018,3,10,21,27,Kahawa West,-1.181697376,36.90348517
Drug Charges,2020,4,28,0,26,Uhuru Park,-1.29116194,36.81595167
Fraud,2017,11,18,19,23,Thika,-1.048427594,37.07454568
Drug Charges,2020,5,9,16,58,Parklands,-1.259163055,36.8206743
Pick Pocketing,2020,4,16,12,32,Parklands,-1.259163055,36.8206743
Road Carnage,2018,12,4,18,32,Parklands,-1.261286851,36.81704796
Pick Pocketing,2017,3,12,3,53,Ngong,-1.349746111,36.65120556
Fraud,2017,10,19,16,34,Ngong,-1.349746111,36.65120556
Pick Pocketing,2018,12,23,1,24,Githurai,-1.203965613,36.91241157
Fraud,2019,2,17,10,51,South C,-1.327136577,36.82569374
Terrorism,2020,6,9,20,47,South B,-1.314378142,36.83863298
Carjacking,2018,9,23,3,21,Uhuru Park,-1.291912768,36.81687435
Terrorism,2019,7,16,1,37,UpperHill,-1.299707944,36.80938757
Carjacking,2018,2,10,4,54,UpperHill,-1.298549527,36.81274569
Carjacking,2020,5,4,9,24,Ngong,-1.366907424,36.67197658
Terrorism,2020,5,1,14,36,Uhuru Park,-1.291912768,36.81687435
Carjacking,2020,3,24,17,55,South C,-1.327222385,36.83938373
Road Carnage,2018,7,1,23,40,Kahawa West,-1.187060648,36.8999232
Armed Robbery,2017,9,17,1,60,South C,-1.327222385,36.83938373
Road Carnage,2017,3,28,7,25,South C,-1.309374327,36.82633747
Terrorism,2018,9,25,21,7,Kahawa West,-1.188605268,36.89691913
Carjacking,2019,8,22,15,10,Parklands,-1.261286851,36.81704796
Terrorism,2020,4,21,19,7,Parklands,-1.25514071,36.80907643
Pick Pocketing,2020,9,31,10,1,South C,-1.315895748,36.82659496
Carjacking,2020,12,26,20,34,Kibera,-1.314278242,36.79372214
Pick Pocketing,2019,10,5,6,60,Kahawa West,-1.188605268,36.89691913
Drug Charges,2018,8,19,6,16,Ngong,-1.361415817,36.66742756
Road Carnage,2020,9,29,17,14,Kahawa West,-1.187060648,36.8999232
Armed Robbery,2017,11,15,16,17,Parklands,-1.25514071,36.80907643
Terrorism,2017,4,8,7,45,Githurai,-1.210787637,36.91850554
Carjacking,2020,6,4,19,26,Uhuru Park,-1.2903935,36.8165834
Armed Robbery,2019,4,9,2,0,Thika,-1.048427594,37.07454568
Drug Charges,2020,2,9,15,51,Kibera,-1.313377257,36.79784201
Carjacking,2017,5,3,8,57,Ngong,-1.349746111,36.65120556
Terrorism,2020,4,29,8,30,Uhuru Park,-1.2903935,36.8165834
Sexual Assault,2018,12,19,20,4,South B,-1.309873212,36.83713094
Fraud,2017,1,27,13,37,South C,-1.327136577,36.82569374
Pick Pocketing,2018,11,25,0,2,Kahawa West,-1.186717399,36.9032706
Carjacking,2018,2,23,15,38,Githurai,-1.203965613,36.91241157
Carjacking,2017,3,28,4,37,Githurai,-1.203064589,36.9597901
Terrorism,2019,4,17,2,26,South C,-1.309374327,36.82633747
Road Carnage,2017,6,15,6,30,South B,-1.309873212,36.83713094
Pick Pocketing,2020,9,7,4,10,Kahawa West,-1.188605268,36.89691913
Fraud,2020,1,6,1,56,Ngong,-1.366907424,36.67197658
Pick Pocketing,2019,6,16,3,39,Kahawa West,-1.186717399,36.9032706
Drug Charges,2020,8,7,11,20,Parklands,-1.260482383,36.80860436
Fraud,2017,11,18,3,18,South C,-1.327136577,36.82569374
Fraud,2020,9,3,24,59,UpperHill,-1.298549527,36.81274569
Drug Charges,2017,12,25,19,16,Kibera,-1.313377257,36.79784201
Armed Robbery,2018,12,3,22,45,Githurai,-1.203064589,36.9597901
Road Carnage,2017,7,26,0,28,Parklands,-1.259163055,36.8206743
Carjacking,2017,12,11,7,12,UpperHill,-1.30067329,36.81582487
Armed Robbery,2017,4,11,1,32,Kibera,-1.3159515,36.79043911
Terrorism,2019,12,15,22,4,Uhuru Park,-1.29116194,36.81595167
Road Carnage,2017,7,20,23,5,Parklands,-1.261286851,36.81704796
Drug Charges,2019,7,29,0,12,Parklands,-1.261286851,36.81704796
Armed Robbery,2020,3,12,12,21,Parklands,-1.261286851,36.81704796
Road Carnage,2017,11,1,3,49,Ngong,-1.349746111,36.65120556
Sexual Assault,2020,9,11,24,38,South B,-1.314378142,36.83863298
Terrorism,2018,12,22,13,2,Kahawa West,-1.181697376,36.90348517
Sexual Assault,2018,2,11,0,53,South B,-1.309873212,36.83713094
Pick Pocketing,2020,1,30,13,9,Kahawa West,-1.187060648,36.8999232
Terrorism,2017,6,29,14,6,Parklands,-1.259163055,36.8206743
Armed Robbery,2018,12,10,18,18,South B,-1.309873212,36.83713094
Pick Pocketing,2020,10,11,3,14,Ngong,-1.361415817,36.66742756
Terrorism,2020,5,22,22,57,Kibera,-1.313377257,36.79784201
Terrorism,2018,12,20,13,52,Ngong,-1.366907424,36.67197658
Sexual Assault,2017,2,2,23,46,Kahawa West,-1.188605268,36.89691913
Armed Robbery,2020,2,29,18,22,UpperHill,-1.30067329,36.81582487
Carjacking,2019,11,8,17,10,Thika,-1.048427594,37.07454568
Fraud,2018,1,11,23,0,South C,-1.327222385,36.83938373
Terrorism,2018,3,27,1,13,Thika,-1.055464524,37.10123903
Road Carnage,2020,12,29,4,11,Kibera,-1.314278242,36.79372214
Sexual Assault,2017,5,19,5,50,Parklands,-1.261286851,36.81704796
Carjacking,2019,5,29,23,32,Kibera,-1.313377257,36.79784201
Terrorism,2017,3,1,7,31,Thika,-1.048427594,37.07454568
Road Carnage,2017,3,14,11,19,South C,-1.327222385,36.83938373
Sexual Assault,2017,2,7,1,51,UpperHill,-1.299707944,36.80938757
Armed Robbery,2020,6,27,14,34,Parklands,-1.259163055,36.8206743
Drug Charges,2018,11,12,5,8,Kibera,-1.314278242,36.79372214
Terrorism,2020,10,30,22,50,South C,-1.327222385,36.83938373
Armed Robbery,2020,9,4,9,34,South C,-1.327222385,36.83938373
Fraud,2017,7,26,18,46,UpperHill,-1.298163388,36.81816375
Pick Pocketing,2017,2,27,14,10,South C,-1.312034383,36.82256092
Armed Robbery,2018,4,15,14,2,South B,-1.315525825,36.83550016
Carjacking,2018,6,30,13,44,Uhuru Park,-1.288523315,36.81737861
Drug Charges,2018,11,14,19,56,South C,-1.315895748,36.82659496
Armed Robbery,2018,9,20,7,53,South B,-1.315525825,36.83550016
Pick Pocketing,2017,10,29,6,47,Parklands,-1.259163055,36.8206743
Pick Pocketing,2017,1,3,10,50,Uhuru Park,-1.29116194,36.81595167
Pick Pocketing,2018,6,16,2,30,South C,-1.327222385,36.83938373
Pick Pocketing,2017,5,16,16,4,Githurai,-1.210787637,36.91850554
Carjacking,2020,11,11,24,34,Uhuru Park,-1.288523315,36.81737861
Sexual Assault,2018,6,8,12,60,Githurai,-1.203965613,36.91241157
Road Carnage,2017,1,17,20,44,South C,-1.315895748,36.82659496
Terrorism,2020,5,14,12,43,UpperHill,-1.298549527,36.81274569
Armed Robbery,2018,11,11,24,30,South C,-1.309374327,36.82633747
Road Carnage,2017,1,1,6,18,Uhuru Park,-1.288523315,36.81737861
Road Carnage,2019,12,27,1,24,South B,-1.314378142,36.83863298
Fraud,2020,8,26,18,40,Ngong,-1.375659647,36.6759248
Pick Pocketing,2020,3,1,17,53,Uhuru Park,-1.291912768,36.81687435
Carjacking,2020,7,7,8,41,Uhuru Park,-1.29116194,36.81595167
Pick Pocketing,2018,7,25,6,33,Parklands,-1.260482383,36.80860436
Carjacking,2019,2,15,11,29,Thika,-1.048427594,37.07454568
Sexual Assault,2017,3,30,14,33,Ngong,-1.349746111,36.65120556
Pick Pocketing,2017,9,9,15,35,UpperHill,-1.299707944,36.80938757
Armed Robbery,2019,4,24,1,57,Githurai,-1.210787637,36.91850554
Sexual Assault,2018,11,7,24,58,Kibera,-1.313377257,36.79784201
Fraud,2018,9,25,1,11,South B,-1.309873212,36.83713094
Fraud,2018,3,7,4,10,Thika,-1.055464524,37.10123903
Sexual Assault,2019,1,19,7,44,South C,-1.309374327,36.82633747
Fraud,2017,9,15,15,29,UpperHill,-1.30067329,36.81582487
Terrorism,2017,3,10,0,24,Kahawa West,-1.188605268,36.89691913
Carjacking,2018,8,3,14,12,Githurai,-1.203064589,36.9597901
Sexual Assault,2018,1,8,20,56,Parklands,-1.261286851,36.81704796
Armed Robbery,2018,2,25,9,32,South B,-1.314378142,36.83863298
Fraud,2018,11,4,0,57,Parklands,-1.261286851,36.81704796
Pick Pocketing,2018,7,30,4,55,Githurai,-1.203965613,36.91241157
Fraud,2019,6,19,19,25,Githurai,-1.204866636,36.92777526
Road Carnage,2018,4,24,8,30,South B,-1.309572883,36.83095113
Pick Pocketing,2020,4,18,15,52,Kibera,-1.310631395,36.79153345
Carjacking,2017,1,24,12,55,South B,-1.315525825,36.83550016
Armed Robbery,2020,3,6,12,33,Uhuru Park,-1.29116194,36.81595167
Pick Pocketing,2020,9,29,17,38,Thika,-1.048427594,37.07454568
Armed Robbery,2017,1,13,22,2,Thika,-1.055464524,37.10123903
Terrorism,2020,12,7,19,34,South B,-1.309572883,36.83095113
Sexual Assault,2019,5,12,6,23,Parklands,-1.259163055,36.8206743
Pick Pocketing,2018,11,25,18,3,South C,-1.327136577,36.82569374
Pick Pocketing,2020,11,9,16,19,Parklands,-1.25514071,36.80907643
Fraud,2017,8,10,18,57,Githurai,-1.203064589,36.9597901
Sexual Assault,2020,6,8,21,7,Kibera,-1.310631395,36.79153345
Armed Robbery,2020,7,30,18,23,Uhuru Park,-1.2903935,36.8165834
Sexual Assault,2017,7,19,21,51,Thika,-1.048427594,37.07454568
Road Carnage,2018,1,15,11,3,Parklands,-1.260482383,36.80860436
Drug Charges,2019,2,17,22,45,Kibera,-1.310631395,36.79153345
Terrorism,2017,7,12,13,26,UpperHill,-1.298549527,36.81274569
Road Carnage,2019,1,23,14,58,Kibera,-1.3159515,36.79043911
Carjacking,2020,4,13,23,53,Kibera,-1.310631395,36.79153345
Road Carnage,2017,9,9,24,15,Parklands,-1.260482383,36.80860436
Terrorism,2020,3,22,7,6,Kahawa West,-1.181697376,36.90348517
Pick Pocketing,2017,8,14,12,34,Uhuru Park,-1.288523315,36.81737861
Terrorism,2018,4,31,2,28,South C,-1.315895748,36.82659496
Armed Robbery,2018,6,9,17,46,Ngong,-1.349746111,36.65120556
Fraud,2017,6,3,18,49,UpperHill,-1.299707944,36.80938757
Road Carnage,2020,7,28,11,34,Githurai,-1.203064589,36.9597901
Pick Pocketing,2018,3,3,16,27,South B,-1.309873212,36.83713094
Pick Pocketing,2017,5,8,4,13,Kibera,-1.314278242,36.79372214
Sexual Assault,2018,7,2,13,8,Ngong,-1.375659647,36.6759248
Terrorism,2020,8,22,16,18,South C,-1.309374327,36.82633747
Sexual Assault,2020,7,25,7,47,Uhuru Park,-1.2903935,36.8165834
Sexual Assault,2020,3,19,5,45,Ngong,-1.366907424,36.67197658
Terrorism,2018,7,20,12,29,Githurai,-1.204866636,36.92777526
Drug Charges,2017,2,4,14,15,Uhuru Park,-1.291912768,36.81687435
Pick Pocketing,2019,7,20,3,25,Thika,-1.028089061,37.06853754
Road Carnage,2018,4,27,21,43,Thika,-1.055464524,37.10123903
Pick Pocketing,2018,3,3,16,45,Uhuru Park,-1.2903935,36.8165834
Pick Pocketing,2018,3,17,23,29,Githurai,-1.203064589,36.9597901
Carjacking,2018,5,26,18,22,Parklands,-1.259163055,36.8206743
Drug Charges,2018,6,6,23,5,Ngong,-1.361415817,36.66742756
Sexual Assault,2019,5,1,14,27,UpperHill,-1.30067329,36.81582487
Fraud,2018,10,31,16,18,South B,-1.315525825,36.83550016
Armed Robbery,2020,8,13,15,3,Uhuru Park,-1.2903935,36.8165834
Sexual Assault,2018,9,19,20,27,South C,-1.312034383,36.82256092
Carjacking,2018,5,4,15,54,Kibera,-1.3159515,36.79043911
Fraud,2020,5,25,16,9,Githurai,-1.204866636,36.92777526
Road Carnage,2018,5,25,19,29,Uhuru Park,-1.2903935,36.8165834
Terrorism,2020,5,28,10,24,Githurai,-1.204866636,36.92777526
Carjacking,2020,8,23,0,16,Parklands,-1.260482383,36.80860436
Fraud,2019,11,26,8,8,South B,-1.315525825,36.83550016
Pick Pocketing,2018,9,11,18,6,Parklands,-1.261286851,36.81704796
Armed Robbery,2020,6,8,21,41,Ngong,-1.349746111,36.65120556
Terrorism,2017,3,29,15,22,Parklands,-1.259163055,36.8206743
Terrorism,2018,4,30,15,24,South B,-1.314378142,36.83863298
Carjacking,2017,9,11,7,9,UpperHill,-1.298549527,36.81274569
Road Carnage,2018,11,28,1,19,South B,-1.309572883,36.83095113
Armed Robbery,2018,9,21,5,14,Uhuru Park,-1.29116194,36.81595167
Road Carnage,2017,8,20,0,8,Uhuru Park,-1.2903935,36.8165834
Terrorism,2017,6,15,3,31,Kibera,-1.314278242,36.79372214
Fraud,2019,5,10,0,9,South B,-1.314378142,36.83863298
Pick Pocketing,2017,5,18,6,8,Ngong,-1.361415817,36.66742756
Sexual Assault,2019,3,14,20,4,Kahawa West,-1.187060648,36.8999232
Road Carnage,2018,1,14,16,7,Kahawa West,-1.186717399,36.9032706
Road Carnage,2017,1,2,16,38,South C,-1.312034383,36.82256092
Sexual Assault,2018,10,25,20,2,Kibera,-1.310631395,36.79153345
Sexual Assault,2019,5,20,15,30,Thika,-1.028089061,37.06853754
Armed Robbery,2017,9,25,10,8,Kibera,-1.310631395,36.79153345
Terrorism,2018,3,4,10,16,South C,-1.327136577,36.82569374
Terrorism,2019,5,5,13,49,Parklands,-1.260482383,36.80860436
Sexual Assault,2020,6,26,10,6,Kahawa West,-1.188605268,36.89691913
Fraud,2018,3,14,3,38,Uhuru Park,-1.2903935,36.8165834
Sexual Assault,2019,7,21,24,48,South C,-1.327136577,36.82569374
Road Carnage,2018,5,7,8,20,Ngong,-1.375659647,36.6759248
Carjacking,2020,4,13,5,16,UpperHill,-1.30067329,36.81582487
Drug Charges,2018,11,25,16,6,Githurai,-1.204866636,36.92777526
Drug Charges,2020,10,8,5,60,Uhuru Park,-1.29116194,36.81595167
Drug Charges,2018,12,5,15,60,South C,-1.315895748,36.82659496
Carjacking,2019,9,8,20,17,UpperHill,-1.299707944,36.80938757
Fraud,2020,9,22,11,3,Kahawa West,-1.186717399,36.9032706
Road Carnage,2017,7,28,4,48,Githurai,-1.203965613,36.91241157
Pick Pocketing,2018,10,17,0,29,South C,-1.309374327,36.82633747
Drug Charges,2019,8,19,7,2,Ngong,-1.349746111,36.65120556
Drug Charges,2019,1,27,11,29,Thika,-1.028089061,37.06853754
Pick Pocketing,2018,11,19,24,30,Kibera,-1.314278242,36.79372214
Terrorism,2020,11,3,12,45,Thika,-1.048427594,37.07454568
Carjacking,2018,3,24,17,11,Githurai,-1.210787637,36.91850554
Fraud,2017,2,26,9,59,Kibera,-1.310631395,36.79153345
Fraud,2019,7,14,13,48,South C,-1.327136577,36.82569374
Sexual Assault,2019,3,30,0,29,Githurai,-1.204866636,36.92777526
Carjacking,2017,4,7,23,28,UpperHill,-1.30067329,36.81582487
Drug Charges,2020,10,12,14,57,Parklands,-1.260482383,36.80860436
Fraud,2018,6,19,11,20,South C,-1.315895748,36.82659496
Fraud,2017,5,18,2,14,Thika,-1.028089061,37.06853754
Fraud,2018,6,23,9,43,Parklands,-1.260482383,36.80860436
Pick Pocketing,2017,8,6,14,17,Githurai,-1.203064589,36.9597901
Drug Charges,2019,1,15,8,8,UpperHill,-1.299707944,36.80938757
Drug Charges,2019,7,30,1,49,UpperHill,-1.299707944,36.80938757
Armed Robbery,2019,4,26,0,1,Parklands,-1.261286851,36.81704796
Carjacking,2020,12,12,23,5,Kibera,-1.313956462,36.79674767
Sexual Assault,2020,8,3,13,31,Thika,-1.048427594,37.07454568
Terrorism,2017,5,21,18,25,Githurai,-1.203064589,36.9597901
Terrorism,2018,11,6,13,49,South C,-1.327222385,36.83938373
Road Carnage,2017,3,7,2,0,Kibera,-1.310631395,36.79153345
Sexual Assault,2018,12,3,11,0,UpperHill,-1.298549527,36.81274569
Fraud,2017,7,9,20,15,Uhuru Park,-1.288523315,36.81737861
Sexual Assault,2020,6,6,5,27,Ngong,-1.361415817,36.66742756
Drug Charges,2019,5,23,8,0,Kahawa West,-1.188605268,36.89691913
Terrorism,2018,1,6,14,41,Kibera,-1.310631395,36.79153345
Carjacking,2018,2,16,16,1,Githurai,-1.203064589,36.9597901
Road Carnage,2018,7,23,0,36,Thika,-1.048427594,37.07454568
Drug Charges,2018,8,4,12,33,Kahawa West,-1.187060648,36.8999232
Sexual Assault,2020,4,1,16,35,Thika,-1.055464524,37.10123903
Carjacking,2020,11,19,1,38,UpperHill,-1.298163388,36.81816375
Terrorism,2018,1,20,7,59,Kahawa West,-1.187060648,36.8999232
Fraud,2018,10,2,2,43,South C,-1.327136577,36.82569374
Carjacking,2017,4,18,9,52,Ngong,-1.349746111,36.65120556
Pick Pocketing,2017,1,7,20,55,Ngong,-1.361415817,36.66742756
Terrorism,2018,7,7,14,13,Uhuru Park,-1.29116194,36.81595167
Carjacking,2020,12,13,20,49,Uhuru Park,-1.291912768,36.81687435
Terrorism,2020,7,26,16,58,Uhuru Park,-1.29116194,36.81595167
Fraud,2017,7,16,9,3,Kahawa West,-1.186717399,36.9032706
Pick Pocketing,2017,8,31,19,3,UpperHill,-1.30067329,36.81582487
Carjacking,2020,7,15,22,15,South B,-1.315525825,36.83550016
Carjacking,2018,1,26,8,3,South C,-1.327136577,36.82569374
Sexual Assault,2019,12,19,15,39,Thika,-1.048427594,37.07454568
Road Carnage,2018,10,2,12,26,Ngong,-1.349746111,36.65120556
Carjacking,2020,4,26,10,46,Kibera,-1.313377257,36.79784201
Drug Charges,2020,1,10,23,37,Ngong,-1.361415817,36.66742756
Road Carnage,2018,2,14,15,60,Thika,-1.055464524,37.10123903
Pick Pocketing,2018,7,5,5,51,Kahawa West,-1.187060648,36.8999232
Pick Pocketing,2020,10,10,10,1,Uhuru Park,-1.29116194,36.81595167
Armed Robbery,2019,12,9,20,49,South C,-1.327222385,36.83938373
Armed Robbery,2017,11,7,0,15,South C,-1.315895748,36.82659496
Drug Charges,2018,2,4,11,9,South B,-1.315525825,36.83550016
Fraud,2020,12,10,19,10,Thika,-1.055464524,37.10123903
Pick Pocketing,2018,3,18,0,30,Parklands,-1.261286851,36.81704796
Drug Charges,2018,3,7,2,27,Thika,-1.055464524,37.10123903
Road Carnage,2019,2,1,3,52,South C,-1.315895748,36.82659496
Sexual Assault,2017,6,12,5,54,Uhuru Park,-1.29116194,36.81595167
Terrorism,2020,10,22,10,43,Kahawa West,-1.186717399,36.9032706
Carjacking,2020,2,7,3,3,South B,-1.314378142,36.83863298
Pick Pocketing,2017,5,2,23,11,Ngong,-1.361415817,36.66742756
Sexual Assault,2019,2,14,22,29,South C,-1.309374327,36.82633747
Fraud,2020,3,27,17,54,Kibera,-1.3159515,36.79043911
Terrorism,2020,12,12,6,46,Uhuru Park,-1.291912768,36.81687435
Road Carnage,2017,12,27,21,8,Kahawa West,-1.181697376,36.90348517
Armed Robbery,2018,11,23,19,22,Ngong,-1.366907424,36.67197658
Pick Pocketing,2018,6,16,3,0,Kahawa West,-1.187060648,36.8999232
Fraud,2017,4,14,5,42,Githurai,-1.203965613,36.91241157
Sexual Assault,2017,7,14,5,20,Githurai,-1.204866636,36.92777526
Pick Pocketing,2017,6,19,0,13,Githurai,-1.203064589,36.9597901
Armed Robbery,2018,2,17,12,15,Kibera,-1.314278242,36.79372214
Sexual Assault,2019,11,30,18,18,Ngong,-1.349746111,36.65120556
Drug Charges,2020,4,8,23,4,Parklands,-1.259163055,36.8206743
Road Carnage,2018,2,2,5,1,Githurai,-1.204866636,36.92777526
Carjacking,2017,10,31,22,57,South C,-1.327136577,36.82569374
Fraud,2020,4,16,12,21,Kibera,-1.313377257,36.79784201
Armed Robbery,2019,9,29,12,48,Ngong,-1.366907424,36.67197658
Fraud,2018,3,19,19,33,UpperHill,-1.298549527,36.81274569
Road Carnage,2019,1,27,3,9,UpperHill,-1.298163388,36.81816375
Armed Robbery,2018,7,23,4,30,Thika,-1.028089061,37.06853754
Sexual Assault,2017,1,30,19,52,Uhuru Park,-1.2903935,36.8165834
Sexual Assault,2020,3,1,8,50,UpperHill,-1.298549527,36.81274569
Drug Charges,2019,10,8,7,36,Uhuru Park,-1.288523315,36.81737861
Road Carnage,2018,9,17,0,56,Ngong,-1.361415817,36.66742756
Pick Pocketing,2018,8,4,0,20,Githurai,-1.204866636,36.92777526
Fraud,2017,7,12,8,9,Uhuru Park,-1.29116194,36.81595167
Drug Charges,2018,10,10,14,45,Kibera,-1.313956462,36.79674767
Armed Robbery,2018,9,25,3,12,Githurai,-1.204866636,36.92777526
Sexual Assault,2019,1,1,9,41,Ngong,-1.366907424,36.67197658
Drug Charges,2019,9,5,1,20,Kahawa West,-1.188605268,36.89691913
Drug Charges,2018,5,27,17,16,Parklands,-1.259163055,36.8206743
Terrorism,2018,9,15,17,59,South B,-1.309873212,36.83713094
Sexual Assault,2017,4,30,24,29,Kibera,-1.3159515,36.79043911
Terrorism,2017,4,30,12,29,Kahawa West,-1.186717399,36.9032706
Road Carnage,2020,6,7,17,54,Ngong,-1.375659647,36.6759248
Terrorism,2020,11,28,21,28,UpperHill,-1.30067329,36.81582487
Road Carnage,2018,3,10,24,10,Kibera,-1.3159515,36.79043911
Carjacking,2017,8,23,2,10,Kibera,-1.313377257,36.79784201
Terrorism,2018,3,18,21,0,Uhuru Park,-1.2903935,36.8165834
Pick Pocketing,2017,12,8,1,50,UpperHill,-1.299707944,36.80938757
Road Carnage,2020,2,19,22,55,Kibera,-1.310631395,36.79153345
Pick Pocketing,2018,3,7,6,35,Thika,-1.03581257,37.08390123
Carjacking,2017,5,26,3,13,Ngong,-1.349746111,36.65120556
Carjacking,2020,7,10,2,20,Ngong,-1.361415817,36.66742756
Terrorism,2017,8,7,23,41,South C,-1.327136577,36.82569374
Armed Robbery,2020,11,9,4,49,South C,-1.309374327,36.82633747
Armed Robbery,2018,9,11,24,3,Githurai,-1.204866636,36.92777526
Carjacking,2018,2,22,4,18,Thika,-1.055464524,37.10123903
Pick Pocketing,2017,11,6,13,44,Ngong,-1.361415817,36.66742756
Terrorism,2018,6,16,8,40,Kibera,-1.313956462,36.79674767
Armed Robbery,2018,7,24,3,23,South B,-1.314378142,36.83863298
Armed Robbery,2017,7,18,10,43,Thika,-1.028089061,37.06853754
Terrorism,2020,12,6,24,29,Uhuru Park,-1.29116194,36.81595167
Fraud,2017,4,12,9,41,Kibera,-1.313956462,36.79674767
Sexual Assault,2018,3,22,24,7,Kahawa West,-1.186717399,36.9032706
Fraud,2019,9,16,18,11,Githurai,-1.210787637,36.91850554
Road Carnage,2018,3,11,23,6,South C,-1.327222385,36.83938373
Armed Robbery,2017,6,14,22,43,Kibera,-1.3159515,36.79043911
Pick Pocketing,2018,1,14,14,59,Uhuru Park,-1.29116194,36.81595167
Drug Charges,2018,1,30,5,22,Uhuru Park,-1.291912768,36.81687435
Carjacking,2017,7,8,11,50,Kibera,-1.314278242,36.79372214
Armed Robbery,2020,9,16,18,14,Parklands,-1.261286851,36.81704796
Armed Robbery,2017,9,2,14,40,Thika,-1.028089061,37.06853754
Armed Robbery,2018,8,29,14,23,Thika,-1.055464524,37.10123903
Pick Pocketing,2020,11,20,5,35,Kibera,-1.313956462,36.79674767
Fraud,2017,11,12,3,10,Ngong,-1.366907424,36.67197658
Sexual Assault,2018,3,17,6,43,Githurai,-1.210787637,36.91850554
Road Carnage,2020,2,11,17,8,South C,-1.312034383,36.82256092
Road Carnage,2018,11,12,5,3,Parklands,-1.25514071,36.80907643
Road Carnage,2017,6,25,19,29,South C,-1.312034383,36.82256092
Sexual Assault,2020,6,8,21,1,Kibera,-1.313377257,36.79784201
Carjacking,2019,4,27,0,28,Ngong,-1.375659647,36.6759248
Road Carnage,2017,6,23,18,32,South C,-1.315895748,36.82659496
Terrorism,2019,7,23,19,10,South B,-1.309873212,36.83713094
Carjacking,2018,5,12,10,2,South C,-1.327136577,36.82569374
Fraud,2019,1,23,16,54,South B,-1.309873212,36.83713094
Road Carnage,2020,5,23,15,48,South C,-1.327136577,36.82569374
Fraud,2019,9,1,15,50,Githurai,-1.204866636,36.92777526
Road Carnage,2018,1,9,16,28,Thika,-1.028089061,37.06853754
Drug Charges,2020,1,23,22,23,Parklands,-1.25514071,36.80907643
Road Carnage,2020,10,13,6,57,Thika,-1.048427594,37.07454568
